year,adm3,adm2,adm1,qfirms,sales,qfixedworkers,wfixedworkers,qfwmonth,qfwfem,wfwfem,qfwmfem,qfwmale,wfwmale,qfwmmale,qflexworkers,wflexworkers,qflwmonth,qflwfem,wflwfem,qflwmfem,qflwmale,wflwmale,qflwmmale,asdf_id,totalworkers,totalwage
2021,Pucon,Cautin,La Araucania,2738,5996200.33,7969,939528.029,4110.998,3493,439232.197,1842.749,4441,500544.011,2268.249,3294,221679.246,1039.165,1618,104824.657,575.416,1676,116854.584,463.749,285,11263,1161207.275
2021,Pudahuel,Santiago, Metropolitana de Santiago,9218,37522630.56,32897,4715067.41,18206.409,8617,1103406.413,4944.164,24032,3613175.179,13260.327,11355,808499.338,4345.913,4528,303328.1,1913.499,6827,505171.236,2432.414,183,44252,5523566.748
2021,Puente Alto,Cordillera, Metropolitana de Santiago,21428,42632563.56,50514,7136334.065,30217.654,18287,3413296.151,12656.663,32119,3736062.86,17560.909,22270,1903603.365,10364.744,11303,933582.974,5657.413,10967,970020.362,4707.331,118,72784,9039937.43
2021,Puerto Montt,Llanquihue,Los Lagos,18055,66249200.9,84783,13000643.69,47871.645,28708,5267646.66,18336.327,55900,7740678.135,29533.985,27859,2154672.712,10398.407,12453,1046302.086,5180.329,15406,1108370.624,5218.079,164,112642,15155316.4
2021,Puerto Octay,Osorno,Los Lagos,540,12863465.92,1781,1764851.903,839.667,650,612039.9475,249.582,1053,1155786.738,590.083,478,329717.6975,226.167,173,133855.8176,79.334,305,195844.1079,146.834,287,2259,2094569.601
2021,Puerto Varas,Llanquihue,Los Lagos,5108,21337203.25,19902,2638328.985,10413.912,6807,848235.814,3664.332,13113,1796515.288,6749.58,10656,726411.689,3091.163,4761,306909.013,1454.499,5895,419502.669,1636.665,311,30558,3364740.674
2021,Pumanque,Colchagua,Libertador Gral. Bernardo OÕHiggins,263,18314975.15,381,2811234.571,187.75,86,1080421.969,42.416,295,1735362.67,145.333,140,606493.0416,73.167,88,263594.2785,55.25,52,342874.7341,17.917,45,521,3417727.613
2021,Punitaqui,Limari,Coquimbo,497,18425694.87,1218,2816765.908,565.25,409,1081418.353,174.417,800,1739897.623,390.834,350,608256.6746,195.583,161,264347.1725,92.333,189,343885.4731,103.25,241,1568,3425022.583
2021,Punta Arenas,Magallanes,Magallanes y de la Antartica Chilena,9414,32595700.77,37562,4257440.795,21916.074,15471,1884017.898,9455.663,21865,2372610.946,12459.661,15076,1040628.873,4967.412,6466,430567.954,2326.248,8610,610060.917,2641.164,138,52638,5298069.668
2021,Puqueldon,Chiloe,Los Lagos,210,18296457.75,442,2830864.863,244.916,59,1085751.149,43.5,383,1749663.782,201.417,227,626614.3126,108.833,112,272609.1225,46.417,115,353981.1611,62.417,50,669,3457479.176
2021,Puren,Malleco,La Araucania,734,18507519.27,1303,3023313.403,953.5,539,1203321.364,439.75,758,1824542.107,513.75,826,676252.2446,496.583,250,298585.4685,152.167,576,377642.7471,344.417,22,2129,3699565.648
2021,Purranque,Osorno,Los Lagos,1243,4441400.69,3444,532904.668,2242.083,1173,198679.382,750.5,2260,334225.282,1491.583,1379,108430.901,736.916,496,45124.496,271.833,883,63279.586,465,54,4823,641335.569
2021,Putaendo,San Felipe de Aconcagua,Valparaiso,907,2195815.86,2962,152102.876,1152.499,987,54513.538,397.417,1963,97569.3,754.833,569,28227.96,280.5,318,9000.861,177.417,251,19227.1,103.083,296,3531,180330.836
2021,Putre,Parinacota,Arica y Parinacota,117,117637.79,85,5507.618,52,49,3122.699,28.916,36,2384.92,23.083,95,1854.296,47.5,35,433.608,16.417,60,1420.687,31.084,105,180,7361.914
2021,Puyehue,Osorno,Los Lagos,745,2484700.68,2384,371107.058,1532.584,1025,161220.91,598.75,1358,209886.151,933.834,1010,72222.312,411.25,519,31036.928,225.167,491,41185.384,186.083,142,3394,443329.37
2021,Queilen,Chiloe,Los Lagos,301,18343395.26,457,2810867.751,213.084,170,1079630.545,73.834,287,1735787.274,139.25,293,608193.9206,101.417,145,264398.3675,39.583,148,343771.5231,61.833,162,750,3419061.672
2021,Quellon,Chiloe,Los Lagos,1570,14546184.21,6870,2196375.315,3795.831,2932,863764.5845,1755,3926,1335585.516,2040.833,1921,370558.8725,770.582,1015,157640.4446,470.166,906,212900.6569,300.416,161,8791,2566934.188
2021,Quemchi,Chiloe,Los Lagos,394,12238723.48,1192,1864755.906,758.25,509,689049.7535,348.499,682,1178680.933,409.75,545,370860.0235,311.667,299,161056.3486,181.167,246,209785.9039,130.5,168,1737,2235615.93
2021,Quilaco,Biobio,Biobio,195,18294369.41,733,2887797.677,419.25,306,1126311.346,187.583,426,1766036.4,231.666,301,633583.3946,126.916,170,277131.4485,76.666,131,356427.9191,50.25,83,1034,3521381.072
2021,Quilicura,Santiago, Metropolitana de Santiago,9356,49813745.69,35558,5853801.584,20934.157,9748,1521489.491,6013.831,25743,4334410.125,14920.327,15679,1033440.302,5276.829,6532,396734.236,2437.581,9147,636654.252,2838.83,184,51237,6887241.886
2021,Quilleco,Biobio,Biobio,373,18357971.57,505,2811590.976,335.333,105,1080380.787,67,398,1735760.257,268.333,213,607066.9236,107.416,100,263904.8765,61.167,113,343138.0181,46.25,84,718,3418657.9
2021,Quillon,Diguillin,nuble,1162,13509822.95,1620,1770519.398,888.332,609,616224.8825,316.167,1005,1157269.297,572.167,608,341057.7715,311.751,338,142228.7086,189.083,270,198811.2899,122.667,123,2228,2111577.17
2021,Quillota,Quillota,Valparaiso,5814,16776300.86,22013,2830945.493,12988.578,8808,1257035.217,5610.582,13269,1584601.591,7377.996,7446,558086.093,3225.331,3628,262774.749,1680.249,3818,295264.903,1544.999,245,29459,3389031.586
2021,Quilpue,Marga Marga,Valparaiso,7425,18714784.35,26634,3091419.744,15305.244,11226,1463485.932,6928.663,15482,1640465.084,8375.329,9820,521266.519,3782.746,4645,211019.307,1915.498,5175,310247.215,1867.248,322,36454,3612686.263
2021,Quinchao,Chiloe,Los Lagos,418,12358884.83,1695,1863954.163,1149,626,675978.0985,465.667,1083,1192575.53,683.333,573,365245.5555,233,221,155037.4426,80,352,210190.3389,153.001,260,2268,2229199.719
2021,Quinta de Tilcoco,Cachapoal,Libertador Gral. Bernardo OÕHiggins,859,13555292.01,3176,1919552.875,1535.999,1234,708614.0325,664.917,1925,1213913.621,871.083,707,361111.5185,335.167,308,153999.5036,127.416,399,207094.2399,207.749,292,3883,2280664.394
2021,Quinta Normal,Santiago, Metropolitana de Santiago,6894,30500620.36,24930,3525436.396,15395.161,6047,822608.269,3800.583,18816,2704397.724,11594.579,9563,614592.512,3503.83,3784,228494.033,1575.916,5779,386098.48,1927.915,188,34493,4140028.908
2021,Quintero,Valparaiso,Valparaiso,1603,4664177.67,3887,455868.425,2223.082,1324,134438.658,795.5,2554,321506.4,1427.582,1944,105668.473,880.749,1048,44055.127,556.917,896,61613.346,323.834,203,5831,561536.898
